id,pair_id,pair_suffix,label,original_split,assigned_split,text
5.46.H,5.46,H,1,train,test,Por que o carteiro foi à feira? Porque tinha uma carta na manga.
5.792.H,5.792,H,1,train,train,Por que a mulher esotérica não conseguia engravidar? Porque ela tinha ovários polimísticos.
5.1811.H,5.1811,H,1,train,train,Qual é o animal que está sempre cansado? Dormedário
5.733.H,5.733,H,1,train,validation,Qual o sambista passou a dar presente pra todo mundo depois de ter o primeiro filho? PAPAI NOEL Rosa.
4.652.N,4.652,N,0,train,train,Um homem matou uma ovelha e agora foi preso . Está na cadeia.
5.2585.N,5.2585,N,0,train,train,Qual apresentador de TV vive gripado? Fausto Silva.
5.1990.N,5.1990,N,0,train,test,Uma cerveja se associou a um comediante para apresentar um programa de tv...que programa é esse?  Sai de Baixo
4.103.H,4.103,H,1,train,train,Qual é a única coisa que se faz sempre em numeração romana? XI XI.
5.28.N,5.28,N,0,train,train,Qual é a modelo mais bela que existe? Gisele Bündchen.
4.66.N,4.66,N,0,train,test,Eu adoro fiambre . E também queijo.
4.19.H,4.19,H,1,train,train,O meu baralho de cartas fica doido quando ligo o aspirador. Hoje encontrei o meu ás pirado
5.258.H,5.258,H,1,train,test,Qual é o político que não mantinha um relacionamento duradouro? Jota é ficar.
4.461.N,4.461,N,0,train,train,Porque é que não se serve chá na escola? Por causa do bule.
4.600.H,4.600,H,1,train,train,O que são quatro pontos pretos no chão? Fourmigas.
5.1649.N,5.1649,N,0,train,train,Eu tenho um carneiro . Qual é o nome dele? Pedro.
5.2933.N,5.2933,N,0,train,train,Qual a moeda inacreditável? Euro
5.694.N,5.694,N,0,train,test,Qual cantora espirra muito? Anitta.
5.1378.N,5.1378,N,0,train,train,Por que eu não faço esporte? Porque é a maior furada.
4.649.N,4.649,N,0,train,train,"Está um cego numa discoteca, de repente perde a bengala e diz: Alto e pára o baile!"
5.1777.N,5.1777,N,0,train,train,Qual é o contrário de Otorrinolaringologista? atsigologniralonirroto.
5.2786.H,5.2786,H,1,train,validation,Por que o oncologista fica triste quando seus clientes desistem do tratamento? Por causa da política de câncer lamento.
5.443.N,5.443,N,0,train,validation,O que o Doutor exclamou ao examinar o Silvio Santos que reclamava de uma dor nas costas? É dor na Lombar.
5.2731.H,5.2731,H,1,train,validation,Qual é a Luta mais praticada nos quadrinhos japoneses? Krav Mangá
5.1845.H,5.1845,H,1,train,train,Qual é o filme que só tinha atiradores de Elite? Top em Gun
4.707.H,4.707,H,1,train,train,Onde é que a andorinha dá o iogurte aos filhotes? Danoninho.
5.3500.N,5.3500,N,0,train,validation,Qual a bacteria que só pega em mulher? Salmonela.
